=== LOGIN + ENTER PLOT FLOW ===
File: c:/sniff/interrior_exterrior_advanced_editor/dumps/dump_12.0.1.66838_2026-04-15_09-35-59.pkt
Total packets: 12615
CMSG_PLAYER_LOGIN   @idx 419
SMSG_LOGIN_VERIFY_WORLD @idx 5393
SMSG_HOUSING_HOUSE_STATUS_RESPONSE @idx 6450
Dumping packets [0..6500]

[   75] t=4790098380635529896 SMSG 0x00420369 size=     8 unk_0x00420369
[   76] t=4790098380640802812 CMSG 0x00290036 size=     4 unk_0x00290036
[   77] t=4790098380640803795 CMSG 0x0040010F size=     4 unk_0x0040010F
[   78] t=4790098380640804319 CMSG 0x00400014 size=     4 unk_0x00400014
[   79] t=4790098380640807891 CMSG 0x004000EA size=     4 unk_0x004000EA
[   80] t=4790098380640810361 CMSG 0x004000EA size=     4 unk_0x004000EA
[   81] t=4790098380640810807 CMSG 0x004000E9 size=     4 unk_0x004000E9
[   82] t=4790098380640811217 CMSG 0x00400123 size=     4 unk_0x00400123
[   83] t=4790098380640812298 CMSG 0x00400176 size=     4 unk_0x00400176
[   84] t=4790098380641050202 CMSG 0x004000EA size=     4 unk_0x004000EA
[   85] t=4790098380641059410 CMSG 0x004000EA size=     4 unk_0x004000EA
[   86] t=4790098380641059844 CMSG 0x0040019F size=     5 unk_0x0040019F
[   87] t=4790098380641059979 CMSG 0x004000EA size=     4 unk_0x004000EA
[   88] t=4790098380641060495 CMSG 0x004000CA size=     4 unk_0x004000CA
[   89] t=4790098380641075192 CMSG 0x004000EA size=     4 unk_0x004000EA
[   90] t=4790098380641136685 CMSG 0x00400011 size= 11344 unk_0x00400011
[   91] t=4790098380641140212 CMSG 0x00400124 size=    43 unk_0x00400124
[   92] t=4790098380641180004 CMSG 0x004000EA size=     4 unk_0x004000EA
[   93] t=4790098380641188921 CMSG 0x00400124 size=    41 unk_0x00400124
[   94] t=4790098380641189007 CMSG 0x00400124 size=    41 unk_0x00400124
[   95] t=4790098380641064808 SMSG 0x00420274 size=    13 unk_0x00420274
[   96] t=4790098380641064808 SMSG 0x0042021A size= 58850 unk_0x0042021A
[   97] t=4790098380641193824 SMSG 0x00420018 size= 30301 unk_0x00420018
[   98] t=4790098380641206018 CMSG 0x00400124 size=    41 unk_0x00400124
[   99] t=4790098380641206116 CMSG 0x00400124 size=    41 unk_0x00400124
[  100] t=4790098380641206247 CMSG 0x00400124 size=    42 unk_0x00400124
[  101] t=4790098380641206309 CMSG 0x00400124 size=    42 unk_0x00400124
