# c:/sniff/wall_floor_ceiling_customize/dumps/dump_12.0.1.66838_2026-04-12_10-11-26.pkt
# idx	dir	opcode	name	size
150	SMSG	0x00460000	Unknown	21
151	SMSG	0x00460000	Unknown	21
152	SMSG	0x00460000	Unknown	37
153	SMSG	0x00460000	Unknown	37
154	SMSG	0x00460000	Unknown	21
155	SMSG	0x00460000	Unknown	37
156	SMSG	0x00460000	Unknown	37
157	SMSG	0x00460000	Unknown	37
158	SMSG	0x00460000	Unknown	21
159	SMSG	0x00460000	Unknown	37
160	SMSG	0x00460000	Unknown	21
161	SMSG	0x00460000	Unknown	37
162	SMSG	0x00460000	Unknown	37
163	SMSG	0x00460000	Unknown	37
164	SMSG	0x00460000	Unknown	21
165	SMSG	0x00460000	Unknown	37
166	SMSG	0x00460000	Unknown	21
167	SMSG	0x00460000	Unknown	21
168	SMSG	0x00460000	Unknown	21
169	SMSG	0x00460000	Unknown	37
170	SMSG	0x00460000	Unknown	21
171	SMSG	0x00460000	Unknown	37
172	SMSG	0x00460000	Unknown	21
173	SMSG	0x00460000	Unknown	37
174	SMSG	0x00460000	Unknown	37
175	SMSG	0x00460000	Unknown	37
176	SMSG	0x00460000	Unknown	21
177	SMSG	0x00460000	Unknown	21
178	SMSG	0x00460000	Unknown	37
179	SMSG	0x00460000	Unknown	37
180	SMSG	0x00460000	Unknown	37
181	SMSG	0x00460000	Unknown	37
182	SMSG	0x00460000	Unknown	21
183	SMSG	0x00460000	Unknown	21
184	SMSG	0x00460000	Unknown	21
185	SMSG	0x00460000	Unknown	37
186	SMSG	0x00460000	Unknown	37
187	SMSG	0x00460000	Unknown	21
188	SMSG	0x00460000	Unknown	21
189	SMSG	0x00460000	Unknown	21
190	SMSG	0x00460000	Unknown	21
191	SMSG	0x00460000	Unknown	21
192	SMSG	0x00460000	Unknown	37
193	SMSG	0x00460000	Unknown	37
194	SMSG	0x00460000	Unknown	37
195	SMSG	0x00460000	Unknown	37
196	SMSG	0x00460000	Unknown	37
197	SMSG	0x00460000	Unknown	21
198	SMSG	0x00460000	Unknown	37
199	SMSG	0x00460000	Unknown	21
200	SMSG	0x00460000	Unknown	37
201	SMSG	0x00460000	Unknown	21
202	SMSG	0x00460000	Unknown	37
203	SMSG	0x00460000	Unknown	37
204	SMSG	0x00460000	Unknown	21
205	SMSG	0x00460000	Unknown	37
206	SMSG	0x00460000	Unknown	21
207	CMSG	0x00400010	Unknown	314
208	SMSG	0x00460000	Unknown	21
209	SMSG	0x00460000	Unknown	21
210	SMSG	0x00460000	Unknown	37
211	SMSG	0x00460000	Unknown	21
212	SMSG	0x00460000	Unknown	21
213	SMSG	0x00460000	Unknown	37
214	SMSG	0x00460000	Unknown	21
215	SMSG	0x00460000	Unknown	21
216	SMSG	0x00460000	Unknown	21
217	SMSG	0x00460000	Unknown	21
218	SMSG	0x00460000	Unknown	21
219	SMSG	0x00460000	Unknown	37
220	SMSG	0x00460000	Unknown	21
221	SMSG	0x00460000	Unknown	37
222	SMSG	0x00460000	Unknown	21
223	SMSG	0x00460000	Unknown	21
224	SMSG	0x00460000	Unknown	21
225	SMSG	0x00460000	Unknown	37
226	SMSG	0x00460000	Unknown	21
227	SMSG	0x00460000	Unknown	37
228	SMSG	0x00460000	Unknown	37
229	SMSG	0x00460000	Unknown	37
230	SMSG	0x00460000	Unknown	37
231	SMSG	0x00460000	Unknown	21
232	SMSG	0x00460000	Unknown	37
233	SMSG	0x00460000	Unknown	37
234	SMSG	0x00460000	Unknown	37
235	SMSG	0x00460000	Unknown	21
236	SMSG	0x00460000	Unknown	21
237	SMSG	0x00460000	Unknown	21
238	SMSG	0x00460000	Unknown	21
239	SMSG	0x00460000	Unknown	37
240	SMSG	0x00460000	Unknown	21
241	SMSG	0x00460000	Unknown	21
242	SMSG	0x00460000	Unknown	21
243	SMSG	0x00460000	Unknown	37
244	SMSG	0x00460000	Unknown	21
245	SMSG	0x00460000	Unknown	37
246	SMSG	0x00460000	Unknown	21
247	SMSG	0x00460000	Unknown	37
248	SMSG	0x00460000	Unknown	21
249	SMSG	0x00460000	Unknown	21
250	SMSG	0x00460000	Unknown	21
251	SMSG	0x00460000	Unknown	21
252	SMSG	0x00460000	Unknown	21
253	SMSG	0x00460000	Unknown	37
254	SMSG	0x00460000	Unknown	37
255	SMSG	0x00460000	Unknown	37
256	SMSG	0x00460000	Unknown	21
257	SMSG	0x00460000	Unknown	21
258	SMSG	0x00460000	Unknown	21
259	SMSG	0x00460000	Unknown	37
260	SMSG	0x00460000	Unknown	21
261	SMSG	0x00460000	Unknown	21
262	SMSG	0x00460000	Unknown	21
263	SMSG	0x00460000	Unknown	21
264	SMSG	0x00460000	Unknown	37
265	SMSG	0x00460000	Unknown	21
266	SMSG	0x00460000	Unknown	37
267	SMSG	0x00460000	Unknown	37
268	SMSG	0x00460000	Unknown	37
269	SMSG	0x00460000	Unknown	37
270	SMSG	0x00460000	Unknown	37
271	SMSG	0x00460000	Unknown	21
272	SMSG	0x00460000	Unknown	21
273	SMSG	0x00460000	Unknown	37
274	SMSG	0x00460000	Unknown	21
275	SMSG	0x00460000	Unknown	21
276	SMSG	0x00460000	Unknown	37
277	SMSG	0x00460000	Unknown	37
278	SMSG	0x00460000	Unknown	21
279	SMSG	0x00460000	Unknown	37
280	SMSG	0x00460000	Unknown	37
281	SMSG	0x00460000	Unknown	37
282	SMSG	0x00460000	Unknown	21
283	SMSG	0x00460000	Unknown	37
284	SMSG	0x00460000	Unknown	37
285	SMSG	0x00460000	Unknown	37
286	SMSG	0x00460000	Unknown	37
287	SMSG	0x00460000	Unknown	37
288	SMSG	0x00460000	Unknown	37
289	SMSG	0x00460000	Unknown	21
290	SMSG	0x00460000	Unknown	21
291	SMSG	0x00460000	Unknown	21
292	SMSG	0x00460000	Unknown	21
293	SMSG	0x00460000	Unknown	21
294	SMSG	0x00460000	Unknown	37
295	SMSG	0x00460000	Unknown	37
296	SMSG	0x00460000	Unknown	21
297	SMSG	0x00460000	Unknown	21
298	SMSG	0x00460000	Unknown	37
299	SMSG	0x00460000	Unknown	37
300	SMSG	0x00460000	Unknown	21
301	SMSG	0x00460000	Unknown	37
302	SMSG	0x00460000	Unknown	21
303	SMSG	0x00460000	Unknown	37
304	SMSG	0x00460000	Unknown	21
305	SMSG	0x00460000	Unknown	21
306	SMSG	0x00460000	Unknown	21
307	SMSG	0x00460000	Unknown	37
308	SMSG	0x00460000	Unknown	37
309	SMSG	0x00460000	Unknown	37
310	SMSG	0x00460000	Unknown	21
311	SMSG	0x00460000	Unknown	21
312	SMSG	0x00460000	Unknown	21
313	SMSG	0x00460000	Unknown	37
314	SMSG	0x00460000	Unknown	21
315	SMSG	0x00460000	Unknown	37
316	SMSG	0x00460000	Unknown	21
317	SMSG	0x00460000	Unknown	21
318	SMSG	0x00460000	Unknown	37
319	SMSG	0x00460000	Unknown	37
320	SMSG	0x00460000	Unknown	21
321	SMSG	0x00460000	Unknown	21
322	CMSG	0x00400193	Unknown	353
323	CMSG	0x0040018F	Unknown	120
324	CMSG	0x004000EA	Unknown	4
325	CMSG	0x004000EA	Unknown	4
326	CMSG	0x004000EA	Unknown	4
327	CMSG	0x004000EA	Unknown	4
328	CMSG	0x004000EA	Unknown	4
329	CMSG	0x004000EA	Unknown	4
330	CMSG	0x004000EA	Unknown	4
331	CMSG	0x004000EA	Unknown	4
332	CMSG	0x004000EA	Unknown	4
333	CMSG	0x004000EA	Unknown	4
334	CMSG	0x004000B5	Unknown	8
335	CMSG	0x004000B5	Unknown	8
336	CMSG	0x004000B5	Unknown	8
337	CMSG	0x004000B5	Unknown	8
338	CMSG	0x004000B5	Unknown	8
339	CMSG	0x004000B5	Unknown	8
340	CMSG	0x004000EA	Unknown	4
341	CMSG	0x004000EA	Unknown	4
342	CMSG	0x004000B6	Unknown	14
343	CMSG	0x004000B6	Unknown	14
344	CMSG	0x004000B6	Unknown	14
345	CMSG	0x004000EA	Unknown	4
346	SMSG	0x0042001A	Unknown	722
347	SMSG	0x00460005	Unknown	30
348	SMSG	0x00460005	Unknown	30
349	SMSG	0x00460005	Unknown	40
350	SMSG	0x00460005	Unknown	26
351	SMSG	0x00460005	Unknown	22
352	SMSG	0x00460005	Unknown	26
353	SMSG	0x004E002D	Unknown	225
354	SMSG	0x004E002D	Unknown	197
355	SMSG	0x004E002D	Unknown	165
356	SMSG	0x0042021B	Unknown	12
357	SMSG	0x0042021B	Unknown	12
358	SMSG	0x0042021B	Unknown	12
359	SMSG	0x0042021B	Unknown	12
360	SMSG	0x0042021B	Unknown	12
361	SMSG	0x0042021B	Unknown	12
362	SMSG	0x0042021B	Unknown	12
363	SMSG	0x0042021B	Unknown	12
364	SMSG	0x0042021B	Unknown	12
365	SMSG	0x0042021B	Unknown	12
366	SMSG	0x0042021B	Unknown	12
367	SMSG	0x0042021B	Unknown	12
368	SMSG	0x0042021B	Unknown	12
369	CMSG	0x004000EA	Unknown	4
370	CMSG	0x004000EA	Unknown	4
371	SMSG	0x0042021B	Unknown	12
372	SMSG	0x0042021B	Unknown	12
373	SMSG	0x005F0007	Unknown	12
374	SMSG	0x004202AE	Unknown	492
375	CMSG	0x00400124	Unknown	41
376	CMSG	0x00400124	Unknown	41
377	CMSG	0x00400124	Unknown	43
378	SMSG	0x004202AD	Unknown	133
379	SMSG	0x004202AD	Unknown	133
380	SMSG	0x004202AD	Unknown	124
381	SMSG	0x004202AE	Unknown	442
382	CMSG	0x0040018F	Unknown	120
383	CMSG	0x00400024	Unknown	9
384	CMSG	0x00410006	Unknown	12
385	SMSG	0x00490009	Unknown	8
386	CMSG	0x00400132	Unknown	5
387	CMSG	0x00400134	Unknown	5
388	CMSG	0x00400133	Unknown	5
389	CMSG	0x004000E4	Unknown	9
390	CMSG	0x00400150	Unknown	8
391	CMSG	0x0040011B	Unknown	8
392	SMSG	0x00420209	Unknown	2108
393	SMSG	0x004202E9	Unknown	2115
394	SMSG	0x00420282	Unknown	13
395	CMSG	0x00290023	Unknown	16
396	CMSG	0x004000EA	Unknown	4
397	SMSG	0x0042032C	Unknown	18
398	SMSG	0x0042032C	Unknown	18
399	SMSG	0x0042021B	Unknown	12
400	CMSG	0x002D0017	Unknown	4
401	CMSG	0x00400016	Unknown	17
402	SMSG	0x004201B4	Unknown	174
403	SMSG	0x00420063	Unknown	241
404	SMSG	0x0042036A	SMSG_MIRROR_VARS	4560
405	SMSG	0x00420266	Unknown	36
406	SMSG	0x0042014E	Unknown	6
407	SMSG	0x00420255	Unknown	10
408	SMSG	0x00420255	Unknown	10
409	SMSG	0x00490008	Unknown	288
410	SMSG	0x00490000	Unknown	69
411	CMSG	0x00410003	Unknown	84
412	SMSG	0x00490004	Unknown	73
413	CMSG	0x00410005	Unknown	4
414	SMSG	0x00490006	Unknown	4
415	CMSG	0x003B00B8	Unknown	5
416	CMSG	0x003A0143	Unknown	8
417	CMSG	0x003A00C0	Unknown	4
418	CMSG	0x003A01ED	Unknown	6
419	CMSG	0x003A01A8	Unknown	4
420	CMSG	0x003A027D	Unknown	4
421	CMSG	0x003A0270	Unknown	4
422	CMSG	0x003A0030	Unknown	5
423	CMSG	0x0041000A	Unknown	8
424	CMSG	0x00410006	Unknown	12
425	SMSG	0x00490009	Unknown	8
426	SMSG	0x004201B4	Unknown	180
427	SMSG	0x00420062	Unknown	370
428	SMSG	0x005E0007	Unknown	5
429	SMSG	0x00470003	Unknown	5
430	SMSG	0x00420121	Unknown	60
431	SMSG	0x00420064	Unknown	33
432	SMSG	0x00420065	Unknown	500
433	SMSG	0x0042008F	Unknown	4
434	SMSG	0x00420234	Unknown	9
435	SMSG	0x00420300	Unknown	9
436	SMSG	0x004202F9	Unknown	51
437	CMSG	0x00400132	Unknown	5
438	CMSG	0x00400133	Unknown	5
439	CMSG	0x00400134	Unknown	5
440	CMSG	0x004000FF	Unknown	8
441	SMSG	0x00420011	Unknown	24
442	SMSG	0x004201DD	Unknown	9
443	SMSG	0x004201DD	Unknown	9
444	SMSG	0x004201DD	Unknown	9
445	SMSG	0x0062004A	Unknown	46
446	SMSG	0x004201DD	Unknown	9
447	SMSG	0x004201DD	Unknown	9
448	SMSG	0x004201DD	Unknown	9
449	SMSG	0x004201DD	Unknown	9
450	SMSG	0x004201DD	Unknown	9
451	SMSG	0x004201DD	Unknown	9
452	SMSG	0x004201DD	Unknown	9
453	SMSG	0x004201DD	Unknown	9
454	SMSG	0x004201DD	Unknown	9
455	SMSG	0x004201DD	Unknown	9
456	SMSG	0x004201DD	Unknown	9
457	SMSG	0x004201DD	Unknown	9
458	SMSG	0x00620040	Unknown	1237
459	SMSG	0x00420079	Unknown	69
460	SMSG	0x004201DD	Unknown	9
461	SMSG	0x004201DD	Unknown	9
462	SMSG	0x00620019	Unknown	1709
463	SMSG	0x0062001C	Unknown	8
464	SMSG	0x004201F2	Unknown	8
465	SMSG	0x004201EE	SMSG_INIT_WORLD_STATES	64028
466	SMSG	0x004201EF	SMSG_UPDATE_WORLD_STATE	1288
467	SMSG	0x0042036E	Unknown	22
468	SMSG	0x0042036E	Unknown	26
469	SMSG	0x00420007	Unknown	1246
470	SMSG	0x004201CD	Unknown	2133
471	SMSG	0x004201CD	Unknown	2133
472	SMSG	0x004201CD	Unknown	2133
473	SMSG	0x004201CD	Unknown	2133
474	SMSG	0x004201CD	Unknown	2133
475	SMSG	0x004201CD	Unknown	2133
476	SMSG	0x005F0007	Unknown	13
477	SMSG	0x004202AE	Unknown	110
478	SMSG	0x00420234	Unknown	9
479	SMSG	0x00420005	Unknown	304585
480	SMSG	0x004202FA	Unknown	8
481	SMSG	0x004201CC	Unknown	6387
482	SMSG	0x004202F9	Unknown	59
483	SMSG	0x004202F9	Unknown	51
484	SMSG	0x004202F9	Unknown	51
485	SMSG	0x004202F9	Unknown	51
486	SMSG	0x004202F9	Unknown	51
487	SMSG	0x004202F9	Unknown	51
488	SMSG	0x004202F9	Unknown	51
489	SMSG	0x004202F9	Unknown	51
490	SMSG	0x004202F9	Unknown	51
491	SMSG	0x004202F9	Unknown	51
492	SMSG	0x004202F9	Unknown	51
493	SMSG	0x004202F9	Unknown	51
494	SMSG	0x004202F9	Unknown	51
495	SMSG	0x004202F9	Unknown	51
496	SMSG	0x004202F9	Unknown	51
497	SMSG	0x004202F9	Unknown	51
498	SMSG	0x004202F9	Unknown	51
499	SMSG	0x004202F9	Unknown	51
500	SMSG	0x004202F9	Unknown	51
501	SMSG	0x004202F9	Unknown	51
502	SMSG	0x004202F9	Unknown	51
503	SMSG	0x004202F9	Unknown	51
504	SMSG	0x004202F9	Unknown	51
505	SMSG	0x004202F9	Unknown	51
506	SMSG	0x004202F9	Unknown	51
507	SMSG	0x004202F9	Unknown	51
508	SMSG	0x004202F9	Unknown	51
509	SMSG	0x004202F9	Unknown	51
510	SMSG	0x004202F9	Unknown	51
511	SMSG	0x004202F9	Unknown	51
512	SMSG	0x004202F9	Unknown	51
513	SMSG	0x004202F9	Unknown	51
514	SMSG	0x004202F9	Unknown	51
515	SMSG	0x004202F9	Unknown	51
516	SMSG	0x004202F9	Unknown	51
517	SMSG	0x004202F9	Unknown	51
518	SMSG	0x004202F9	Unknown	51
519	SMSG	0x004202F9	Unknown	51
520	SMSG	0x004202F9	Unknown	51
521	SMSG	0x004202F9	Unknown	51
522	SMSG	0x004202F9	Unknown	51
523	SMSG	0x004202F9	Unknown	51
524	SMSG	0x004202F9	Unknown	51
525	SMSG	0x004202F9	Unknown	51
526	SMSG	0x004202F9	Unknown	51
527	SMSG	0x004202F9	Unknown	51
528	SMSG	0x004202F9	Unknown	51
529	SMSG	0x004202F9	Unknown	51
530	SMSG	0x004202F9	Unknown	51
531	SMSG	0x004202F9	Unknown	51
532	SMSG	0x004202F9	Unknown	51
533	SMSG	0x004202F9	Unknown	51
534	SMSG	0x004202F9	Unknown	51
535	SMSG	0x004202F9	Unknown	51
536	SMSG	0x004202F9	Unknown	51
537	SMSG	0x004202F9	Unknown	51
538	SMSG	0x004202F9	Unknown	51
539	SMSG	0x004202F9	Unknown	51
540	SMSG	0x004202F9	Unknown	51
541	SMSG	0x004202F9	Unknown	51
542	SMSG	0x004202F9	Unknown	51
543	SMSG	0x004202F9	Unknown	51
544	SMSG	0x004202F9	Unknown	51
545	SMSG	0x004202F9	Unknown	51
546	SMSG	0x004202F9	Unknown	51
547	SMSG	0x004202F9	Unknown	51
548	SMSG	0x004202F9	Unknown	51
549	SMSG	0x004202F9	Unknown	51
550	SMSG	0x004202F9	Unknown	51
551	SMSG	0x004202F9	Unknown	51
552	SMSG	0x004202F9	Unknown	51
553	SMSG	0x004202F9	Unknown	51
554	SMSG	0x004202F9	Unknown	51
555	SMSG	0x004202F9	Unknown	51
556	SMSG	0x004202F9	Unknown	51
557	SMSG	0x004202F9	Unknown	51
558	SMSG	0x004202F9	Unknown	51
559	SMSG	0x004202F9	Unknown	51
560	SMSG	0x004202F9	Unknown	51
561	SMSG	0x004202F9	Unknown	51
562	SMSG	0x004202F9	Unknown	51
563	SMSG	0x004202F9	Unknown	51
564	SMSG	0x004202F9	Unknown	51
565	SMSG	0x004202F9	Unknown	51
566	SMSG	0x004202F9	Unknown	51
567	SMSG	0x004202F9	Unknown	51
568	SMSG	0x004202F9	Unknown	51
569	SMSG	0x004202F9	Unknown	51
570	SMSG	0x004202F9	Unknown	51
571	SMSG	0x004202F9	Unknown	51
